name,description,signature,url
"cupy.array","Creates an array on the current device.","cupy.array(obj\, dtype=None\, copy=True\, order='K'\, subok=False\, ndmin=0)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.array.html#cupy.array"
"cupy.array_repr","Returns the string representation of an array.","cupy.array_repr(arr\, max_line_width=None\, precision=None\, suppress_small=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.array_repr.html#cupy.array_repr"
"cupy.array_split","Splits an array into multiple sub arrays along a given axis.","cupy.array_split(ary\, indices_or_sections\, axis=0)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.array_split.html#cupy.array_split"
"cupy.array_str","Returns the string representation of the content of an array.","cupy.array_str(arr\, max_line_width=None\, precision=None\, suppress_small=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.array_str.html#cupy.array_str"
"cupy.asanyarray","Converts an object to array.","cupy.asanyarray(a\, dtype=None\, order=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.asanyarray.html#cupy.asanyarray"
"cupy.asarray","Converts an object to array.","cupy.asarray(a\, dtype=None\, order=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.asarray.html#cupy.asarray"
"cupy.ascontiguousarray","Returns a C-contiguous array.","cupy.ascontiguousarray(a\, dtype=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.ascontiguousarray.html#cupy.ascontiguousarray"
"cupy.asfortranarray","Return an array laid out in Fortran order in memory.","cupy.asfortranarray(a\, dtype=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.asfortranarray.html#cupy.asfortranarray"
"cupy.asnumpy","Returns an array on the host memory from an arbitrary source array.","cupy.asnumpy(a\, stream=None\, order='C')","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.asnumpy.html#cupy.asnumpy"
"cupy.atleast_1d","Converts arrays to arrays with dimensions >= 1.","cupy.atleast_1d(*arys)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.atleast_1d.html#cupy.atleast_1d"
"cupy.atleast_2d","Converts arrays to arrays with dimensions >= 2.","cupy.atleast_2d(*arys)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.atleast_2d.html#cupy.atleast_2d"
"cupy.atleast_3d","Converts arrays to arrays with dimensions >= 3.","cupy.atleast_3d(*arys)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.atleast_3d.html#cupy.atleast_3d"
"cupy.average","Returns the weighted average along an axis.","cupy.average(a\, axis=None\, weights=None\, returned=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.average.html#cupy.average"
"cupy.base_repr","Return a string representation of a number in the given base system.","cupy.base_repr(number\, base=2\, padding=0)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.base_repr.html#cupy.base_repr"
"cupy.binary_repr","Return the binary representation of the input number as a string.","cupy.binary_repr(num\, width=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.binary_repr.html#cupy.binary_repr"
"cupy.bincount","Count number of occurrences of each value in array of non-negative ints.","cupy.bincount(x\, weights=None\, minlength=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.bincount.html#cupy.bincount"
"cupy.bitwise_and = <ufunc 'cupy_bitwise_and'>","Computes the bitwise AND of two arrays elementwise.","cupy.bitwise_and = <ufunc 'cupy_bitwise_and'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.bitwise_and.html#cupy.bitwise_and"
"cupy.bitwise_or = <ufunc 'cupy_bitwise_or'>","Computes the bitwise OR of two arrays elementwise.","cupy.bitwise_or = <ufunc 'cupy_bitwise_or'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.bitwise_or.html#cupy.bitwise_or"
"cupy.bitwise_xor = <ufunc 'cupy_bitwise_xor'>","Computes the bitwise XOR of two arrays elementwise.","cupy.bitwise_xor = <ufunc 'cupy_bitwise_xor'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.bitwise_xor.html#cupy.bitwise_xor"
"cupy.blackman","Returns the Blackman window.","cupy.blackman(M)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.blackman.html#cupy.blackman"
"cupy.broadcast_arrays","Broadcasts given arrays.","cupy.broadcast_arrays(*args)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.broadcast_arrays.html#cupy.broadcast_arrays"
"cupy.broadcast_to","Broadcast an array to a given shape.","cupy.broadcast_to(array\, shape)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.broadcast_to.html#cupy.broadcast_to"
"cupy.can_cast","Returns True if cast between data types can occur according to the casting rule. If from is a scalar or array scalar\, also returns True if the scalar value can be cast without overflow or truncation to an integer.","cupy.can_cast(from_\, to\, casting='safe')","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.can_cast.html#cupy.can_cast"
"cupy.cbrt = <ufunc 'cupy_cbrt'>","Elementwise cube root function.","cupy.cbrt = <ufunc 'cupy_cbrt'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.cbrt.html#cupy.cbrt"
"cupy.ceil = <ufunc 'cupy_ceil'>","Rounds each element of an array to its ceiling integer.","cupy.ceil = <ufunc 'cupy_ceil'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.ceil.html#cupy.ceil"
"cupy.clear_memo","Clears the memoized results for all functions decorated by memoize.","cupy.clear_memo()","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.clear_memo.html#cupy.clear_memo"
"cupy.clip","Clips the values of an array to a given interval.","cupy.clip(a\, a_min=None\, a_max=None\, out=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.clip.html#cupy.clip"
"cupy.column_stack","Stacks 1-D and 2-D arrays as columns into a 2-D array.","cupy.column_stack(tup)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.column_stack.html#cupy.column_stack"
"cupy.common_type","Return a scalar type which is common to the input arrays.","cupy.common_type(*arrays)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.common_type.html#cupy.common_type"
"cupy.concatenate","Joins arrays along an axis.","cupy.concatenate(tup\, axis=0)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.concatenate.html#cupy.concatenate"
"cupy.conj = <ufunc 'cupy_conj'>","Returns the complex conjugate\, element-wise.","cupy.conj = <ufunc 'cupy_conj'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.conj.html#cupy.conj"
"cupy.copy","Creates a copy of a given array on the current device.","cupy.copy(a\, order='K')","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.copy.html#cupy.copy"
"cupy.copysign = <ufunc 'cupy_copysign'>","Returns the first argument with the sign bit of the second elementwise.","cupy.copysign = <ufunc 'cupy_copysign'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.copysign.html#cupy.copysign"
"cupy.copyto","Copies values from one array to another with broadcasting.","cupy.copyto(dst\, src\, casting='same_kind'\, where=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.copyto.html#cupy.copyto"
"cupy.corrcoef","Returns the Pearson product-moment correlation coefficients of an array.","cupy.corrcoef(a\, y=None\, rowvar=True\, bias=None\, ddof=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.corrcoef.html#cupy.corrcoef"
"cupy.cos = <ufunc 'cupy_cos'>","Elementwise cosine function.","cupy.cos = <ufunc 'cupy_cos'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.cos.html#cupy.cos"
"cupy.cosh = <ufunc 'cupy_cosh'>","Elementwise hyperbolic cosine function.","cupy.cosh = <ufunc 'cupy_cosh'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.cosh.html#cupy.cosh"
"cupy.count_nonzero","Counts the number of non-zero values in the array.","cupy.count_nonzero(a\, axis=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.count_nonzero.html#cupy.count_nonzero"
"cupy.cov","Returns the covariance matrix of an array.","cupy.cov(a\, y=None\, rowvar=True\, bias=False\, ddof=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.cov.html#cupy.cov"
"cupy.cross","Returns the cross product of two vectors.","cupy.cross(a\, b\, axisa=-1\, axisb=-1\, axisc=-1\, axis=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.cross.html#cupy.cross"
"cupy.cumprod","Returns the cumulative product of an array along a given axis.","cupy.cumprod(a\, axis=None\, dtype=None\, out=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.cumprod.html#cupy.cumprod"
"cupy.cumsum","Returns the cumulative sum of an array along a given axis.","cupy.cumsum(a\, axis=None\, dtype=None\, out=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.cumsum.html#cupy.cumsum"
"cupy.deg2rad = <ufunc 'cupy_deg2rad'>","Converts angles from degrees to radians elementwise.","cupy.deg2rad = <ufunc 'cupy_deg2rad'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.deg2rad.html#cupy.deg2rad"
"cupy.degrees = <ufunc 'cupy_rad2deg'>","Converts angles from radians to degrees elementwise.","cupy.degrees = <ufunc 'cupy_rad2deg'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.degrees.html#cupy.degrees"
"cupy.diag","Returns a diagonal or a diagonal array.","cupy.diag(v\, k=0)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.diag.html#cupy.diag"
"cupy.diagflat","Creates a diagonal array from the flattened input.","cupy.diagflat(v\, k=0)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.diagflat.html#cupy.diagflat"
"cupy.diagonal","Returns specified diagonals.","cupy.diagonal(a\, offset=0\, axis1=0\, axis2=1)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.diagonal.html#cupy.diagonal"
"cupy.diff","Calculate the n-th discrete difference along the given axis.","cupy.diff(a\, n=1\, axis=-1\, prepend=None\, append=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.diff.html#cupy.diff"
"cupy.divide = <ufunc 'cupy_true_divide'>","Elementwise true division (i.e. division as floating values).","cupy.divide = <ufunc 'cupy_true_divide'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.divide.html#cupy.divide"
"cupy.dot","Returns a dot product of two arrays.","cupy.dot(a\, b\, out=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.dot.html#cupy.dot"
"cupy.dsplit","Splits an array into multiple sub arrays along the third axis.","cupy.dsplit(ary\, indices_or_sections)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.dsplit.html#cupy.dsplit"
"cupy.dstack","Stacks arrays along the third axis.","cupy.dstack(tup)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.dstack.html#cupy.dstack"
"cupy.einsum","Evaluates the Einstein summation convention on the operands. Using the Einstein summation convention\, many common multi-dimensional array operations can be represented in a simple fashion. This function provides a way to compute such summations.","cupy.einsum(subscripts\, *operands\, dtype=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.einsum.html#cupy.einsum"
"cupy.empty","Returns an array without initializing the elements.","cupy.empty(shape\, dtype=<class 'float'>\, order='C')","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.empty.html#cupy.empty"
"cupy.empty_like","Returns a new array with same shape and dtype of a given array.","cupy.empty_like(a\, dtype=None\, order='K'\, subok=None\, shape=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.empty_like.html#cupy.empty_like"
"cupy.equal = <ufunc 'cupy_equal'>","Tests elementwise if x1 == x2.","cupy.equal = <ufunc 'cupy_equal'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.equal.html#cupy.equal"
"cupy.exp = <ufunc 'cupy_exp'>","Elementwise exponential function.","cupy.exp = <ufunc 'cupy_exp'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.exp.html#cupy.exp"
"cupy.exp2 = <ufunc 'cupy_exp2'>","Elementwise exponentiation with base 2.","cupy.exp2 = <ufunc 'cupy_exp2'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.exp2.html#cupy.exp2"
"cupy.expand_dims","Expands given arrays.","cupy.expand_dims(a\, axis)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.expand_dims.html#cupy.expand_dims"
"cupy.expm1 = <ufunc 'cupy_expm1'>","Computes exp(x) - 1 elementwise.","cupy.expm1 = <ufunc 'cupy_expm1'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.expm1.html#cupy.expm1"
"cupy.eye","Returns a 2-D array with ones on the diagonals and zeros elsewhere.","cupy.eye(N\, M=None\, k=0\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.eye.html#cupy.eye"
"cupy.fft.fft","Compute the one-dimensional FFT.","cupy.fft.fft(a\, n=None\, axis=-1\, norm=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.fft.html#cupy.fft.fft"
"cupy.fft.fft2","Compute the two-dimensional FFT.","cupy.fft.fft2(a\, s=None\, axes=(-2\, -1)\, norm=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.fft2.html#cupy.fft.fft2"
"cupy.fft.fftfreq","Return the FFT sample frequencies.","cupy.fft.fftfreq(n\, d=1.0)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.fftfreq.html#cupy.fft.fftfreq"
"cupy.fft.fftn","Compute the N-dimensional FFT.","cupy.fft.fftn(a\, s=None\, axes=None\, norm=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.fftn.html#cupy.fft.fftn"
"cupy.fft.fftshift","Shift the zero-frequency component to the center of the spectrum.","cupy.fft.fftshift(x\, axes=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.fftshift.html#cupy.fft.fftshift"
"cupy.fft.hfft","Compute the FFT of a signal that has Hermitian symmetry.","cupy.fft.hfft(a\, n=None\, axis=-1\, norm=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.hfft.html#cupy.fft.hfft"
"cupy.fft.ifft","Compute the one-dimensional inverse FFT.","cupy.fft.ifft(a\, n=None\, axis=-1\, norm=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.ifft.html#cupy.fft.ifft"
"cupy.fft.ifft2","Compute the two-dimensional inverse FFT.","cupy.fft.ifft2(a\, s=None\, axes=(-2\, -1)\, norm=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.ifft2.html#cupy.fft.ifft2"
"cupy.fft.ifftn","Compute the N-dimensional inverse FFT.","cupy.fft.ifftn(a\, s=None\, axes=None\, norm=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.ifftn.html#cupy.fft.ifftn"
"cupy.fft.ifftshift","The inverse of fftshift().","cupy.fft.ifftshift(x\, axes=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.ifftshift.html#cupy.fft.ifftshift"
"cupy.fft.ihfft","Compute the FFT of a signal that has Hermitian symmetry.","cupy.fft.ihfft(a\, n=None\, axis=-1\, norm=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.ihfft.html#cupy.fft.ihfft"
"cupy.fft.irfft","Compute the one-dimensional inverse FFT for real input.","cupy.fft.irfft(a\, n=None\, axis=-1\, norm=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.irfft.html#cupy.fft.irfft"
"cupy.fft.irfft2","Compute the two-dimensional inverse FFT for real input.","cupy.fft.irfft2(a\, s=None\, axes=(-2\, -1)\, norm=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.irfft2.html#cupy.fft.irfft2"
"cupy.fft.irfftn","Compute the N-dimensional inverse FFT for real input.","cupy.fft.irfftn(a\, s=None\, axes=None\, norm=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.irfftn.html#cupy.fft.irfftn"
"cupy.fft.rfft","Compute the one-dimensional FFT for real input.","cupy.fft.rfft(a\, n=None\, axis=-1\, norm=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.rfft.html#cupy.fft.rfft"
"cupy.fft.rfft2","Compute the two-dimensional FFT for real input.","cupy.fft.rfft2(a\, s=None\, axes=(-2\, -1)\, norm=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.rfft2.html#cupy.fft.rfft2"
"cupy.fft.rfftfreq","Return the FFT sample frequencies for real input.","cupy.fft.rfftfreq(n\, d=1.0)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.rfftfreq.html#cupy.fft.rfftfreq"
"cupy.fft.rfftn","Compute the N-dimensional FFT for real input.","cupy.fft.rfftn(a\, s=None\, axes=None\, norm=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.rfftn.html#cupy.fft.rfftn"
"cupy.fill_diagonal","Fills the main diagonal of the given array of any dimensionality.","cupy.fill_diagonal(a\, val\, wrap=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fill_diagonal.html#cupy.fill_diagonal"
"cupy.fix = <ufunc 'cupy_fix'>","If given value x is positive\, it return floor(x). Else\, it return ceil(x).","cupy.fix = <ufunc 'cupy_fix'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fix.html#cupy.fix"
"cupy.flatnonzero","Return indices that are non-zero in the flattened version of a.","cupy.flatnonzero(a)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.flatnonzero.html#cupy.flatnonzero"
"cupy.flip","Reverse the order of elements in an array along the given axis.","cupy.flip(a\, axis)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.flip.html#cupy.flip"
"cupy.fliplr","Flip array in the left/right direction.","cupy.fliplr(a)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fliplr.html#cupy.fliplr"
"cupy.flipud","Flip array in the up/down direction.","cupy.flipud(a)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.flipud.html#cupy.flipud"
"cupy.floor = <ufunc 'cupy_floor'>","Rounds each element of an array to its floor integer.","cupy.floor = <ufunc 'cupy_floor'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.floor.html#cupy.floor"
"cupy.floor_divide = <ufunc 'cupy_floor_divide'>","Elementwise floor division (i.e. integer quotient).","cupy.floor_divide = <ufunc 'cupy_floor_divide'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.floor_divide.html#cupy.floor_divide"
"cupy.fmax = <ufunc 'cupy_fmax'>","Takes the maximum of two arrays elementwise.","cupy.fmax = <ufunc 'cupy_fmax'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fmax.html#cupy.fmax"
"cupy.fmin = <ufunc 'cupy_fmin'>","Takes the minimum of two arrays elementwise.","cupy.fmin = <ufunc 'cupy_fmin'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fmin.html#cupy.fmin"
"cupy.fmod = <ufunc 'cupy_fmod'>","Computes the remainder of C division elementwise.","cupy.fmod = <ufunc 'cupy_fmod'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fmod.html#cupy.fmod"
"cupy.frexp = <ufunc 'cupy_frexp'>","Decomposes each element to mantissa and two’s exponent.","cupy.frexp = <ufunc 'cupy_frexp'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.frexp.html#cupy.frexp"
"cupy.fromDlpack","Zero-copy conversion from a DLPack tensor to a ndarray.","cupy.fromDlpack(dltensor) → ndarray","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fromDlpack.html#cupy.fromDlpack"
"cupy.full","Returns a new array of given shape and dtype\, filled with a given value.","cupy.full(shape\, fill_value\, dtype=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.full.html#cupy.full"
"cupy.full_like","Returns a full array with same shape and dtype as a given array.","cupy.full_like(a\, fill_value\, dtype=None\, order='K'\, subok=None\, shape=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.full_like.html#cupy.full_like"
"cupy.fuse","Decorator that fuses a function.","cupy.fuse(*args\, **kwargs)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fuse.html#cupy.fuse"
"cupy.get_array_module","Returns the array module for arguments.","cupy.get_array_module(*args)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.get_array_module.html#cupy.get_array_module"
"cupy.get_default_memory_pool","Returns CuPy default memory pool for GPU memory.","cupy.get_default_memory_pool()","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.get_default_memory_pool.html#cupy.get_default_memory_pool"
"cupy.get_default_pinned_memory_pool","Returns CuPy default memory pool for pinned memory.","cupy.get_default_pinned_memory_pool()","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.get_default_pinned_memory_pool.html#cupy.get_default_pinned_memory_pool"
"cupy.greater = <ufunc 'cupy_greater'>","Tests elementwise if x1 > x2.","cupy.greater = <ufunc 'cupy_greater'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.greater.html#cupy.greater"
"cupy.greater_equal = <ufunc 'cupy_greater_equal'>","Tests elementwise if x1 >= x2.","cupy.greater_equal = <ufunc 'cupy_greater_equal'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.greater_equal.html#cupy.greater_equal"
"cupy.hamming","Returns the Hamming window.","cupy.hamming(M)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.hamming.html#cupy.hamming"
"cupy.hanning","Returns the Hanning window.","cupy.hanning(M)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.hanning.html#cupy.hanning"
"cupy.histogram","Computes the histogram of a set of data.","cupy.histogram(x\, bins=10)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.histogram.html#cupy.histogram"
"cupy.hsplit","Splits an array into multiple sub arrays horizontally.","cupy.hsplit(ary\, indices_or_sections)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.hsplit.html#cupy.hsplit"
"cupy.hstack","Stacks arrays horizontally.","cupy.hstack(tup)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.hstack.html#cupy.hstack"
"cupy.hypot = <ufunc 'cupy_hypot'>","Computes the hypoteneous of orthogonal vectors of given length.","cupy.hypot = <ufunc 'cupy_hypot'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.hypot.html#cupy.hypot"
"cupy.i0 = <ufunc 'cupy_i0'>","Modified Bessel function of the first kind\, order 0.","cupy.i0 = <ufunc 'cupy_i0'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.i0.html#cupy.i0"
"cupy.identity","Returns a 2-D identity array.","cupy.identity(n\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.identity.html#cupy.identity"
"cupy.imag","Returns the imaginary part of the elements of the array.","cupy.imag(val)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.imag.html#cupy.imag"
"cupy.in1d","Tests whether each element of a 1-D array is also present in a second array.","cupy.in1d(ar1\, ar2\, assume_unique=False\, invert=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.in1d.html#cupy.in1d"
"cupy.indices","Returns an array representing the indices of a grid.","cupy.indices(dimensions\, dtype=<class 'int'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.indices.html#cupy.indices"
"cupy.inner","Returns the inner product of two arrays.","cupy.inner(a\, b)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.inner.html#cupy.inner"
